Squad,Possession,Total touches /90,Touches in defensive PK box /90,Touches in defensive third /90,Touches in middle third /90,Touches in attacking third /90,Touches in attacking PK box /90,Attempted take-ons /90,Successful take-ons /90,Success %,Times tackled /90,Tackled %,Carries into attacking third,Carries into PK box,Miscontrolled,Dispossessed,Shot creating actions /90,Shots created from live passes /90,Shots created from dead balls /90,Shots created from turnovers /90,Shots created from other shots /90,Shots created from fouls suffered /90,Shots created from defensive actions /90,Goal creating actions /90,Goals created from live passes /90,Goals created from dead balls /90,Goals created from turnovers /90,Goals created from other shots /90,Goals created from fouls suffered /90,Goals created from defensive actions /90,Total goals,Total assists,Non-penalty goals,Penalty goals,Penalties attempted,Total xG,Non-penalty xG,Total xG assists,Goals /90,Assists /90,Non-penalty goals /90,xG /90,xG assists /90,Non-penalty xG /90
Atalanta,56,623.4,44.9,152.4,286,191.3,29.9,16,6.43,40.2,8.43,52.7,19,5.43,14,10,28.7,21.4,1.71,1.57,2.57,1,0.43,4,3.14,0,0.14,0.43,0.29,0,16,9,13,3,4,14.9,11.8,9,2.29,1.29,1.86,2.14,1.29,1.69
Inter,63,716.3,60.7,189.7,338.4,192.9,27.9,9,2.71,30.2,5.57,61.9,18.3,3,10.3,5.14,23.7,16.9,2.43,1.29,1.57,1,0.57,1.71,0.86,0,0.29,0.43,0.14,0,7,5,6,1,1,8,7.2,5.4,1,0.71,0.86,1.14,0.77,1.03
Milan,56.4,625.6,50.6,179.7,293.1,159.4,27.9,17.1,8.71,50.8,7,40.8,17,7.71,11.6,6.86,25.3,17.3,2.71,1.43,2.57,1,0.29,1.43,1.29,0,0,0,0.14,0,5,4,4,1,1,10.4,9.6,7,0.71,0.57,0.57,1.48,1,1.37
Bologna,60.4,659.3,60.1,187.6,312.9,164.3,22,16.3,5.86,36,8.43,51.8,10.3,4.57,14.4,10,25.4,19,2,1.43,2,0.43,0.57,2.14,1.86,0,0.14,0.14,0,0,8,8,8,0,1,8,7.3,6.6,1.14,1.14,1.14,1.15,0.94,1.05
Napoli,48,575.1,49,156.6,275.4,150.1,23.4,17.6,7.14,40.7,8,45.5,14.9,6.43,12.4,9.29,14.9,9.86,1.86,1.57,0.86,0.57,0.14,1.43,0.86,0,0.14,0.29,0.14,0,6,3,5,1,1,6.4,5.6,3.7,0.86,0.43,0.71,0.91,0.53,0.8
Roma,61.3,682.7,57.4,175.1,323,190.1,28.9,17,5.86,34.5,9,52.9,18.7,4.43,13.4,8,25.9,17.7,2.29,2.43,1.57,1.57,0.29,2.14,0.71,0.57,0.14,0.29,0.43,0,9,5,7,2,3,10.2,7.9,5.7,1.29,0.71,1,1.46,0.81,1.13
Lazio,55.1,589.1,52.1,160.6,284.6,150.3,23.7,16.1,8.14,50.4,6.14,38.1,15.7,5.14,13.6,8.86,19,12.6,2.43,0.71,1.29,1.71,0.29,1,0.71,0,0,0.29,0,0,5,3,5,0,1,7.1,6.2,4.7,0.71,0.43,0.71,1.02,0.67,0.88
Juventus,61.9,739,56.3,224.7,374.6,144.6,19.1,17.1,8.43,49.2,7.57,44.2,16.4,5.14,14.6,6.14,16.6,11.4,2,0.86,0.86,0.86,0.57,2.86,1.86,0.29,0.14,0.14,0.14,0.29,11,8,9,2,2,8.6,7,6.2,1.57,1.14,1.29,1.23,0.88,1
Como,52.4,603.3,59.9,191.1,280.3,137,20.1,13.4,6.29,46.8,5.86,43.6,13.6,4.57,12.7,10.6,28.4,22.6,2.29,0.71,1.57,0.86,0.43,3.57,2.86,0.14,0.14,0.29,0.14,0,15,10,14,1,1,12.5,11.8,8.5,2.14,1.43,2,1.79,1.22,1.68
Fiorentina,54.4,572.3,64,195.1,259.3,122,21,16.7,7.86,47,6.29,37.6,13.7,4.57,11,9.14,20.7,16.1,1.43,0.86,1.29,0.57,0.43,2.43,1.86,0.14,0,0.14,0.14,0.14,10,6,7,3,3,9.1,6.8,5.5,1.43,0.86,1,1.3,0.79,0.97
Cagliari,47.7,532.1,65.7,191.4,225,121.6,21.3,14.9,7.14,48.1,6.86,46.2,11,3.43,12,8.71,26,19,2.43,1.29,1.57,1.14,0.57,3.43,2.14,0.29,0.43,0.14,0.29,0.14,13,10,12,1,2,12.2,10.5,8.7,1.86,1.43,1.71,1.74,1.24,1.5
Parma,45.7,539.9,78.7,193.4,221,130.4,22.7,15.6,6.57,42.2,6.57,42.2,10.1,6.43,16.3,8.86,25.9,18.9,2.43,1.29,1.43,0.86,1,0.86,0.71,0,0,0,0.14,0,3,2,3,0,0,7.6,7.6,6.6,0.43,0.29,0.43,1.09,0.95,1.09
Torino,49.1,580.3,75.4,192.9,279.3,112.1,15.3,9.14,3.14,34.4,4.71,51.6,10.4,2,10.9,7.14,29,19.9,2.57,2.29,2.14,1.57,0.57,4,2,0.57,0.14,0.43,0.57,0.29,15,10,13,2,4,13.4,10.2,8.3,2.14,1.43,1.86,1.91,1.19,1.46
Udinese,41.6,495.4,71.3,188.7,209.7,103.4,18.4,16,7.43,46.4,7.71,48.2,10.9,3.43,15,7.71,10.1,7.29,1.14,0.57,0.43,0.71,0,1.29,1.14,0,0,0.14,0,0,5,3,5,0,0,3.3,3.3,1.5,0.71,0.43,0.71,0.47,0.21,0.47
Lecce,42.3,499.4,64.7,187,214.1,105.6,17.3,15.1,5.71,37.7,7,46.2,10.3,5.14,11.6,7.29,25,20.1,2.14,0.71,0.71,0.86,0.43,3.71,2.71,0.29,0.14,0.14,0.29,0.14,14,12,13,1,1,10.8,10.1,9.1,2,1.71,1.86,1.55,1.31,1.44
Hellas Verona,38.6,464,53,160.1,212.4,98,12.9,14.4,6.71,46.5,6.43,44.6,9.43,3.71,10.7,8.43,26,20,2.29,1.29,0.71,1.43,0.29,2.71,1.86,0.14,0.29,0.14,0.29,0,10,8,8,2,2,11.1,9.5,8,1.43,1.14,1.14,1.58,1.15,1.36
Genoa,41.7,483.1,63.9,179.3,210.1,98.7,14.9,10.1,3.71,36.6,5.14,50.7,10.7,1.57,12.4,8.86,30.3,23.1,2.71,1,2.14,1.14,0.14,2,1.14,0.14,0.29,0.14,0.14,0.14,8,4,7,1,1,10.2,9.4,6.4,1.14,0.57,1,1.46,0.92,1.35
Monza,47.3,558.6,74.6,220.4,253.1,88.6,8.43,11.4,5.29,46.3,4.86,42.5,10,1.29,12.6,10.9,18.3,14.3,1.14,0.43,1.14,1,0.29,2.57,1.86,0.29,0.14,0.14,0.14,0,11,7,10,1,2,9.3,7.8,5.3,1.57,1,1.43,1.34,0.76,1.12
Venezia,41.1,472.1,72,193.6,188.3,96.6,17,11.7,6.14,52.4,4.71,40.2,9.86,2.86,15.1,10.9,17.7,13.4,1.14,0.86,1.14,0.43,0.71,2.14,1.29,0,0.14,0.43,0.14,0.14,10,7,10,0,1,7.5,6.7,5,1.43,1,1.43,1.08,0.72,0.96
Empoli,35.9,437.1,72.1,179.7,183.1,80.4,12,16.6,8,48.3,6.57,39.7,6.57,3.14,13.6,10.4,20.9,15.6,1.86,0.86,1,1.29,0.29,1.14,0.71,0.14,0,0.29,0,0,5,4,5,0,1,6.6,5.8,4.3,0.71,0.57,0.71,0.94,0.62,0.82
Fiorentina 2023-2024,57.4,622.6,56.2,178.1,284.4,165,24,16.5,7.34,44.6,7.29,44.2,14.2,4.26,14.3,8.71,23.9,17.9,2.08,0.97,1.55,1.16,0.32,2.79,1.87,0.29,0.21,0.26,0.13,0.03,,,,,,,,,1.58,1.08,1.47,1.36,0.93,1.19