Club,Total points,Average points/game,Total points vs top 9,Points/game vs top 9,Total points vs bottom 11,Points/game vs bottom 11
Atalanta,64,1.94,24,1.60,40,2.35
Bologna,60,1.82,20,1.54,40,2.00
Cagliari,30,0.94,5,0.31,25,1.39
Como,39,1.18,14,0.82,25,1.56
Empoli,25,0.76,7,0.44,18,1.06
Fiorentina,53,1.66,24,1.71,29,1.61
Genoa,39,1.22,4,0.31,35,2.06
Hellas Verona,32,0.97,12,0.71,20,1.25
Inter Milan,71,2.15,21,1.50,50,2.63
Juventus,59,1.84,17,1.21,42,2.33
Lazio,56,1.75,19,1.36,37,2.06
Lecce,26,0.79,2,0.13,24,1.33
AC Milan,51,1.55,14,0.57,42,2.21
Monza,15,0.45,6,0.40,9,0.50
Napoli,71,2.15,30,1.88,41,2.41
Parma,28,0.88,14,1.00,14,0.78
Roma,57,1.73,9,0.75,48,2.29
Torino,40,1.25,11,0.73,29,1.71
Udinese,40,1.25,10,0.67,30,1.76
Venezia,25,0.76,5,0.33,20,1.11
Average,44.05,1.35,13.4,0.90,30.9,1.72